"phrase" "start" "destination"
"Je souhaite visiter Bagnolet en partant de Massy" "Massy" "Bagnolet"
"J'aimerais aller à Tarbes depuis Perpignan" "Perpignan" "Tarbes"
"J'aimerais aller vers Sainte-Geneviève-des-Bois en partant de Cagnes-sur-Mer" "Cagnes-sur-Mer" "Sainte-Geneviève-des-Bois"
"Je souhaite visiter Avignon depuis Cayenne" "Cayenne" "Avignon"
"Je souhaite visiter Montauban à partir de Charleville-Mézières" "Charleville-Mézières" "Montauban"
"Je souhaite arriver à Saint-Étienne en passant par Puteaux" "Puteaux" "Saint-Étienne"
"J'aimerais aller à Auxerre à partir de Bourg-en-Bresse" "Bourg-en-Bresse" "Auxerre"
"Je souhaite visiter Wattrelos depuis Lyon" "Lyon" "Wattrelos"
"J'aimerais aller à Anglet en passant par Arles" "Arles" "Anglet"
"J'aimerais aller à Roubaix depuis Saint-Denis" "Saint-Denis" "Roubaix"
"Je souhaite arriver à Lorient en partant de Cordes sur Ciel" "Cordes sur Ciel" "Lorient"
"Je souhaite arriver à Arras en provenance de Tarbes" "Tarbes" "Arras"
"Je ne trouve pas de train en direction de Aubagne à partir de Les Sables-d'Olonne" "Les Sables-d'Olonne" "Aubagne"
"Je souhaite me rendre à Toulouse en passant par Châteauroux" "Châteauroux" "Toulouse"
"Je souhaite découvrir Calais à partir de Mantes-la-Jolie" "Mantes-la-Jolie" "Calais"
"J'aimerais arriver à Paris en passant par Mulhouse" "Mulhouse" "Paris"
"Je souhaite voyager à Agen en passant par Montpellier" "Montpellier" "Agen"
"J'aimerais visiter Sarcelles en provenance de Reims" "Reims" "Sarcelles"
"J'aimerais aller vers Évreux en partant de Bastia" "Bastia" "Évreux"
"Je souhaite me rendre à Nîmes depuis Lille" "Lille" "Nîmes"
"J'aimerais découvrir Sarcelles à partir de L'Haÿ-les-Roses" "L'Haÿ-les-Roses" "Sarcelles"
"J'aimerais arriver à Montigny-le-Bretonneux en partant de Lens" "Lens" "Montigny-le-Bretonneux"
"Je souhaite aller à Villenave-d'Ornon en provenance de Saint-Louis" "Saint-Louis" "Villenave-d'Ornon"
"J'aimerais découvrir Roubaix en passant par Saint-Nazaire" "Saint-Nazaire" "Roubaix"
"Je souhaite atterrir à Aubagne à partir de Le Port" "Le Port" "Aubagne"
"Je souhaite me rendre à Saint-Médard-en-Jalles depuis Plaisir" "Plaisir" "Saint-Médard-en-Jalles"
"J'aimerais arriver à Lorient en provenance de Massy" "Massy" "Lorient"
"J'aimerais voyager à La Rochelle à partir de Wattrelos" "Wattrelos" "La Rochelle"
"J'aimerais voyager à Clermont-Ferrand en passant par Évry-Courcouronnes" "Évry-Courcouronnes" "Clermont-Ferrand"
"Je souhaite arriver à Chelles en provenance de Le Blanc-Mesnil" "Le Blanc-Mesnil" "Chelles"
"Je souhaite voyager à Saint-Ouen-sur-Seine en passant par Fort-de-France" "Fort-de-France" "Saint-Ouen-sur-Seine"
"J'aimerais arriver à Colombes à partir de Troyes" "Troyes" "Colombes"
"Je souhaite me rendre à Vénissieux en passant par Metz" "Metz" "Vénissieux"
"Je souhaite découvrir Villejuif à partir de Lille" "Lille" "Villejuif"
"J'aimerais visiter Cayenne depuis Montélimar" "Montélimar" "Cayenne"
"J'aimerais atterrir à Valence depuis Strasbourg" "Strasbourg" "Valence"
"Je souhaite me rendre à Dijon à partir de Montpellier" "Montpellier" "Dijon"
"J'aimerais atterrir à Rouen à partir de Istres" "Istres" "Rouen"
"J'aimerais arriver à Vigneux-sur-Seine en provenance de Montreuil" "Montreuil" "Vigneux-sur-Seine"
"J'aimerais aller vers Liévin depuis Joué-lès-Tours" "Joué-lès-Tours" "Liévin"
"Je souhaite me rendre à Martigues en passant par Caen" "Caen" "Martigues"
"J'aimerais aller à Chambéry en partant de Rezé" "Rezé" "Chambéry"
"Je souhaite voyager à Orléans à partir de Pantin" "Pantin" "Orléans"
"J'aimerais aller vers Mâcon en passant par Gennevilliers" "Gennevilliers" "Mâcon"
"Je souhaite me rendre à Noisy-le-Sec en provenance de Le Havre" "Le Havre" "Noisy-le-Sec"
"J'aimerais aller vers Montélimar en passant par Cholet" "Cholet" "Montélimar"
"J'aimerais découvrir Le Port à partir de Avignon" "Avignon" "Le Port"
"J'aimerais me rendre à Colomiers à partir de Rezé" "Rezé" "Colomiers"
"J'aimerais aller à Saint-Chamond en passant par Six-Fours-les-Plages" "Six-Fours-les-Plages" "Saint-Chamond"
"Je souhaite arriver à Périgueux en provenance de Mulhouse" "Mulhouse" "Périgueux"
"J'aimerais découvrir Rueil-Malmaison en provenance de Le Chesnay-Rocquencourt" "Le Chesnay-Rocquencourt" "Rueil-Malmaison"
"J'aimerais atterrir à Beauvais en provenance de Trappes" "Trappes" "Beauvais"
"J'aimerais arriver à Palaiseau en partant de Lyon" "Lyon" "Palaiseau"
"Je souhaite aller à Saint-Germain-en-Laye en partant de Clermont-Ferrand" "Clermont-Ferrand" "Saint-Germain-en-Laye"
"J'aimerais voyager à Reims à partir de Gennevilliers" "Gennevilliers" "Reims"
"J'aimerais voyager à Lorient à partir de Belfort" "Belfort" "Lorient"
"J'aimerais atterrir à Saint-Malo en provenance de Le Havre" "Le Havre" "Saint-Malo"
"J'aimerais arriver à Bordeaux en provenance de Vitrolles" "Vitrolles" "Bordeaux"
"Je souhaite visiter Saint-Denis depuis Pantin" "Pantin" "Saint-Denis"
"Je souhaite aller vers Pantin en passant par Compiègne" "Compiègne" "Pantin"
"Je souhaite découvrir Istres à partir de Rillieux-la-Pape" "Rillieux-la-Pape" "Istres"
"Je souhaite voyager à Colombes en partant de Neuilly-sur-Marne" "Neuilly-sur-Marne" "Colombes"
"J'aimerais arriver à Montpellier à partir de Drancy" "Drancy" "Montpellier"
"Je souhaite visiter La Ciotat en partant de Brive-la-Gaillarde" "Brive-la-Gaillarde" "La Ciotat"
"Je souhaite arriver à Alès en provenance de Colomiers" "Colomiers" "Alès"
"Je souhaite découvrir Tarbes en passant par Vénissieux" "Vénissieux" "Tarbes"
"Je souhaite aller vers Istres depuis Le Cannet" "Le Cannet" "Istres"
"Je souhaite voyager à Villemomble en partant de Viry-Châtillon" "Viry-Châtillon" "Villemomble"
"Je souhaite arriver à Dijon à partir de Aubervilliers" "Aubervilliers" "Dijon"
"J'aimerais voyager à Le Chesnay-Rocquencourt en provenance de Paris" "Paris" "Le Chesnay-Rocquencourt"
"J'aimerais aller à Épinay-sur-Seine à partir de Talence" "Talence" "Épinay-sur-Seine"
"Je souhaite me rendre à Le Perreux-sur-Marne en passant par Poissy" "Poissy" "Le Perreux-sur-Marne"
"Je souhaite me rendre à Colomiers en partant de Ivry-sur-Seine" "Ivry-sur-Seine" "Colomiers"
"Je souhaite me rendre à Tarbes en passant par Paris" "Paris" "Tarbes"
"Je souhaite découvrir Pontault-Combault en passant par Rezé" "Rezé" "Pontault-Combault"
"Je ne trouve pas de train en direction de Beauvais en passant par Anglet" "Anglet" "Beauvais"
"J'aimerais atterrir à Aix-en-Provence en provenance de Cholet" "Cholet" "Aix-en-Provence"
"Je souhaite aller vers Brest à partir de Dreux" "Dreux" "Brest"
"J'aimerais me rendre à Haguenau en provenance de Sarcelles" "Sarcelles" "Haguenau"
"J'aimerais aller vers Mantes-la-Jolie depuis Istres" "Istres" "Mantes-la-Jolie"
"Je souhaite aller vers Pessac à partir de Bondy" "Bondy" "Pessac"
"Je souhaite visiter Dumbéa à partir de Stains" "Stains" "Dumbéa"
"Je souhaite aller vers Auxerre depuis Saint-Pierre" "Saint-Pierre" "Auxerre"
"Je souhaite arriver à Évry-Courcouronnes depuis Agen" "Agen" "Évry-Courcouronnes"
"Je souhaite voyager à Chelles en partant de Vaulx-en-Velin" "Vaulx-en-Velin" "Chelles"
"J'aimerais découvrir Athis-Mons depuis Bobigny" "Bobigny" "Athis-Mons"
"J'aimerais aller à Stains en partant de Saint-Pierre" "Saint-Pierre" "Stains"
"Je souhaite visiter Viry-Châtillon à partir de Saint-Étienne" "Saint-Étienne" "Viry-Châtillon"
"Je souhaite découvrir Compiègne en partant de Koungou" "Koungou" "Compiègne"
"Je ne trouve pas de train en direction de Le Tampon en partant de Schiltigheim" "Schiltigheim" "Le Tampon"
"J'aimerais aller à Neuilly-sur-Marne en passant par Haguenau" "Haguenau" "Neuilly-sur-Marne"
"Je souhaite aller vers Montluçon à partir de Le Perreux-sur-Marne" "Le Perreux-sur-Marne" "Montluçon"
"Je souhaite découvrir Calais en passant par Saint-Ouen-sur-Seine" "Saint-Ouen-sur-Seine" "Calais"
"J'aimerais atterrir à Thionville en passant par Saint-Quentin" "Saint-Quentin" "Thionville"
"J'aimerais visiter Neuilly-sur-Marne en partant de Aubagne" "Aubagne" "Neuilly-sur-Marne"
"J'aimerais visiter Tourcoing en provenance de Perpignan" "Perpignan" "Tourcoing"
"Je souhaite visiter Strasbourg en provenance de Villemomble" "Villemomble" "Strasbourg"
"Je souhaite aller vers Neuilly-sur-Marne en passant par Pantin" "Pantin" "Neuilly-sur-Marne"
"Je souhaite me rendre à Nancy en provenance de Palaiseau" "Palaiseau" "Nancy"
"Je souhaite voyager à Avignon en partant de Montreuil" "Montreuil" "Avignon"
"J'aimerais visiter Bondy en provenance de Le Bignon-Mirabeau" "Le Bignon-Mirabeau" "Bondy"
"J'aimerais voyager à Nice depuis Conflans-Sainte-Honorine" "Conflans-Sainte-Honorine" "Nice"
"J'aimerais arriver à Rillieux-la-Pape en partant de Viry-Châtillon" "Viry-Châtillon" "Rillieux-la-Pape"
"J'aimerais aller à Bron en partant de Périgueux" "Périgueux" "Bron"
"Je souhaite atterrir à Poissy depuis Villeurbanne" "Villeurbanne" "Poissy"
"J'aimerais découvrir Poitiers en passant par Cholet" "Cholet" "Poitiers"
"Je souhaite découvrir Athis-Mons depuis Saint-Joseph" "Saint-Joseph" "Athis-Mons"
"J'aimerais arriver à Le Chesnay-Rocquencourt depuis Toulon" "Toulon" "Le Chesnay-Rocquencourt"
"Je ne trouve pas de train en direction de Limoges en provenance de Conflans-Sainte-Honorine" "Conflans-Sainte-Honorine" "Limoges"
"Je souhaite visiter Bagneux à partir de Levallois-Perret" "Levallois-Perret" "Bagneux"
"J'aimerais voyager à Fréjus en provenance de Massy" "Massy" "Fréjus"
"Je ne trouve pas de train en direction de Cholet depuis Neuilly-sur-Marne" "Neuilly-sur-Marne" "Cholet"
"J'aimerais voyager à Cannes en partant de Saint-Louis" "Saint-Louis" "Cannes"
"Je souhaite atterrir à Le Cannet depuis Boulogne-Billancourt" "Boulogne-Billancourt" "Le Cannet"
"Je souhaite arriver à Saint-Herblain en partant de Saint-Médard-en-Jalles" "Saint-Médard-en-Jalles" "Saint-Herblain"
"J'aimerais arriver à Rosny-sous-Bois depuis Aubagne" "Aubagne" "Rosny-sous-Bois"
"Je souhaite voyager à Cachan depuis Fréjus" "Fréjus" "Cachan"
"Je souhaite visiter Alès à partir de Puteaux" "Puteaux" "Alès"
"J'aimerais me rendre à Laval en provenance de Blois" "Blois" "Laval"
"Je souhaite découvrir Marcq-en-Barœul à partir de Arles" "Arles" "Marcq-en-Barœul"
"J'aimerais me rendre à Herblay-sur-Seine à partir de Villeneuve-d'Ascq" "Villeneuve-d'Ascq" "Herblay-sur-Seine"
"J'aimerais voyager à Saint-Laurent-du-Maroni depuis Herblay-sur-Seine" "Herblay-sur-Seine" "Saint-Laurent-du-Maroni"
"Je souhaite visiter Paris en passant par La Ciotat" "La Ciotat" "Paris"
"Je souhaite découvrir La Roche-sur-Yon en passant par Sartrouville" "Sartrouville" "La Roche-sur-Yon"
"J'aimerais découvrir Charleville-Mézières en provenance de Valenciennes" "Valenciennes" "Charleville-Mézières"
"Je souhaite atterrir à Plaisir depuis Saint-Priest" "Saint-Priest" "Plaisir"
"J'aimerais arriver à Bourg-en-Bresse à partir de Talence" "Talence" "Bourg-en-Bresse"
"J'aimerais aller à Angers en partant de Roubaix" "Roubaix" "Angers"
"Je souhaite aller à Grenoble en passant par Fort-de-France" "Fort-de-France" "Grenoble"
"Je souhaite atterrir à Montpellier en passant par Auxerre" "Auxerre" "Montpellier"
"Je souhaite visiter Le Bignon-Mirabeau en partant de Bagneux" "Bagneux" "Le Bignon-Mirabeau"
"Je souhaite me rendre à Châteauroux depuis Issy-les-Moulineaux" "Issy-les-Moulineaux" "Châteauroux"
"J'aimerais découvrir Colomiers en provenance de La Ciotat" "La Ciotat" "Colomiers"
"Je souhaite aller vers Le Cannet en partant de Istres" "Istres" "Le Cannet"
"J'aimerais visiter Aubagne depuis Schiltigheim" "Schiltigheim" "Aubagne"
"Je souhaite arriver à Metz en provenance de Saint-Louis" "Saint-Louis" "Metz"
"Je souhaite arriver à Échirolles en partant de Argenteuil" "Argenteuil" "Échirolles"
"J'aimerais aller à Colomiers depuis Joué-lès-Tours" "Joué-lès-Tours" "Colomiers"
"J'aimerais voyager à Saint-Martin-d'Hères à partir de Reims" "Reims" "Saint-Martin-d'Hères"
"J'aimerais visiter Châtenay-Malabry à partir de Le Mans" "Le Mans" "Châtenay-Malabry"
"J'aimerais me rendre à Charleville-Mézières en provenance de Pessac" "Pessac" "Charleville-Mézières"
"Je souhaite atterrir à Nancy en passant par Salon-de-Provence" "Salon-de-Provence" "Nancy"
"Je souhaite me rendre à Dijon à partir de Châlons-en-Champagne" "Châlons-en-Champagne" "Dijon"
"Je souhaite aller vers Le Port en partant de Auxerre" "Auxerre" "Le Port"
"J'aimerais arriver à Tremblay-en-France en partant de Dijon" "Dijon" "Tremblay-en-France"
"Je souhaite voyager à Creil en passant par Châteauroux" "Châteauroux" "Creil"
"Je souhaite arriver à Chartres en partant de Vandœuvre-lès-Nancy" "Vandœuvre-lès-Nancy" "Chartres"
"J'aimerais voyager à Vandœuvre-lès-Nancy depuis Levallois-Perret" "Levallois-Perret" "Vandœuvre-lès-Nancy"
"Je souhaite visiter Plaisir en partant de Cordes sur Ciel" "Cordes sur Ciel" "Plaisir"
"Je ne trouve pas de train en direction de Saint-Raphaël à partir de Villepinte" "Villepinte" "Saint-Raphaël"
"Je souhaite aller vers Noisy-le-Grand en partant de Aubervilliers" "Aubervilliers" "Noisy-le-Grand"
"J'aimerais atterrir à Drancy depuis Rillieux-la-Pape" "Rillieux-la-Pape" "Drancy"
"Je souhaite aller vers Viry-Châtillon en passant par Thionville" "Thionville" "Viry-Châtillon"
"J'aimerais arriver à Montpellier depuis Châtenay-Malabry" "Châtenay-Malabry" "Montpellier"
"Je souhaite aller vers Châtenay-Malabry en passant par Malakoff" "Malakoff" "Châtenay-Malabry"
"Je souhaite découvrir Saint-Raphaël en passant par Sartrouville" "Sartrouville" "Saint-Raphaël"
"Je souhaite atterrir à Villejuif depuis Melun" "Melun" "Villejuif"
"J'aimerais aller vers Melun depuis Bagneux" "Bagneux" "Melun"
"J'aimerais visiter Le Chesnay-Rocquencourt en provenance de Amiens" "Amiens" "Le Chesnay-Rocquencourt"
"Je souhaite me rendre à Montélimar depuis Arles" "Arles" "Montélimar"
"Je souhaite découvrir Saint-Médard-en-Jalles en partant de Évry-Courcouronnes" "Évry-Courcouronnes" "Saint-Médard-en-Jalles"
"Je souhaite atterrir à Évreux à partir de Saint-Chamond" "Saint-Chamond" "Évreux"
"Je souhaite atterrir à Houilles en provenance de Aix-en-Provence" "Aix-en-Provence" "Houilles"
"Je ne trouve pas de train en direction de Béziers en provenance de Boulogne-sur-Mer" "Boulogne-sur-Mer" "Béziers"
"Je souhaite atterrir à Clamart en partant de Bobigny" "Bobigny" "Clamart"
"J'aimerais me rendre à Charenton-le-Pont à partir de Plaisir" "Plaisir" "Charenton-le-Pont"
"J'aimerais voyager à Villeneuve-Saint-Georges à partir de Champigny-sur-Marne" "Champigny-sur-Marne" "Villeneuve-Saint-Georges"
"Je souhaite aller à Le Tampon depuis Nouméa" "Nouméa" "Le Tampon"
"J'aimerais aller à Bezons en partant de Conflans-Sainte-Honorine" "Conflans-Sainte-Honorine" "Bezons"
"J'aimerais me rendre à Bayonne en partant de Rouen" "Rouen" "Bayonne"
"J'aimerais découvrir Massy à partir de Cordes sur Ciel" "Cordes sur Ciel" "Massy"
"Je souhaite aller vers Toulouse en provenance de Marseille" "Marseille" "Toulouse"
"Je souhaite arriver à Brest en partant de Sartrouville" "Sartrouville" "Brest"
"Je souhaite découvrir Clichy en provenance de Cagnes-sur-Mer" "Cagnes-sur-Mer" "Clichy"
"J'aimerais aller vers Argenteuil à partir de Chelles" "Chelles" "Argenteuil"
"J'aimerais atterrir à Lille en passant par Saint-Herblain" "Saint-Herblain" "Lille"
"Je souhaite découvrir Villepinte en partant de Le Tampon" "Le Tampon" "Villepinte"
"Je souhaite atterrir à Bobigny en provenance de Limoges" "Limoges" "Bobigny"
"J'aimerais aller vers Bagnolet en provenance de Mérignac" "Mérignac" "Bagnolet"
"Je souhaite découvrir Cannes à partir de Châlons-en-Champagne" "Châlons-en-Champagne" "Cannes"
"Je souhaite me rendre à Sainte-Marie en passant par Creil" "Creil" "Sainte-Marie"
"J'aimerais voyager à Conflans-Sainte-Honorine en partant de Le Blanc-Mesnil" "Le Blanc-Mesnil" "Conflans-Sainte-Honorine"
"J'aimerais découvrir Belfort en passant par Cherbourg-en-Cotentin" "Cherbourg-en-Cotentin" "Belfort"
"J'aimerais aller vers Brest en partant de Fort-de-France" "Fort-de-France" "Brest"
"J'aimerais voyager à Montluçon en partant de Alfortville" "Alfortville" "Montluçon"
"J'aimerais atterrir à Nice depuis Alès" "Alès" "Nice"
"J'aimerais voyager à Nîmes en passant par Besançon" "Besançon" "Nîmes"
"J'aimerais voyager à Mantes-la-Jolie en provenance de Livry-Gargan" "Livry-Gargan" "Mantes-la-Jolie"
"J'aimerais arriver à Gennevilliers à partir de Fréjus" "Fréjus" "Gennevilliers"
"Je souhaite atterrir à Poissy en partant de Colombes" "Colombes" "Poissy"
"Je souhaite arriver à Troyes en partant de Hyères" "Hyères" "Troyes"
"J'aimerais voyager à Nantes en passant par Le Tampon" "Le Tampon" "Nantes"
"J'aimerais me rendre à Nancy en partant de Annemasse" "Annemasse" "Nancy"
"J'aimerais voyager à Béziers en passant par Pantin" "Pantin" "Béziers"
"Je souhaite aller vers Dijon à partir de Saint-Leu" "Saint-Leu" "Dijon"
"Je souhaite visiter Angoulême à partir de Narbonne" "Narbonne" "Angoulême"
"Je souhaite atterrir à Saint-Raphaël en partant de Rezé" "Rezé" "Saint-Raphaël"
"J'aimerais arriver à Vitrolles à partir de Sète" "Sète" "Vitrolles"
"J'aimerais atterrir à Mantes-la-Jolie à partir de Noisy-le-Sec" "Noisy-le-Sec" "Mantes-la-Jolie"
"Je souhaite atterrir à Bron à partir de Sevran" "Sevran" "Bron"
"Je ne trouve pas de train en direction de Annemasse en partant de Pessac" "Pessac" "Annemasse"
"Je ne trouve pas de train en direction de Pontoise en partant de Livry-Gargan" "Livry-Gargan" "Pontoise"
"J'aimerais aller vers Antony depuis Cambrai" "Cambrai" "Antony"
"Je souhaite visiter Fort-de-France en provenance de Vaulx-en-Velin" "Vaulx-en-Velin" "Fort-de-France"
"Je souhaite aller à Rillieux-la-Pape depuis Chelles" "Chelles" "Rillieux-la-Pape"
"J'aimerais découvrir Rueil-Malmaison en partant de Lille" "Lille" "Rueil-Malmaison"
"J'aimerais découvrir Houilles en passant par Saint-Benoît" "Saint-Benoît" "Houilles"
"Je souhaite aller à Villemomble en provenance de Le Tampon" "Le Tampon" "Villemomble"
"Je souhaite arriver à Pessac depuis Plaisir" "Plaisir" "Pessac"
"Je souhaite voyager à Baie-Mahault en partant de Nancy" "Nancy" "Baie-Mahault"
"Je souhaite découvrir Villemomble à partir de Cachan" "Cachan" "Villemomble"
"Je souhaite aller vers Dumbéa en partant de Sevran" "Sevran" "Dumbéa"
"Je souhaite arriver à Saint-Denis en passant par Le Havre" "Le Havre" "Saint-Denis"
"J'aimerais aller vers Tremblay-en-France en provenance de Montluçon" "Montluçon" "Tremblay-en-France"
"J'aimerais aller à Saint-Pierre en partant de Châteauroux" "Châteauroux" "Saint-Pierre"
"Je souhaite aller vers Melun en partant de Nancy" "Nancy" "Melun"
"J'aimerais atterrir à Mulhouse en partant de Dreux" "Dreux" "Mulhouse"
"J'aimerais aller à Vincennes depuis Noisy-le-Sec" "Noisy-le-Sec" "Vincennes"
"Je souhaite arriver à Agen à partir de Les Abymes" "Les Abymes" "Agen"
"J'aimerais aller vers Carcassonne en partant de Évreux" "Évreux" "Carcassonne"
"J'aimerais aller à Beauvais en provenance de Sainte-Geneviève-des-Bois" "Sainte-Geneviève-des-Bois" "Beauvais"
"J'aimerais visiter Rosny-sous-Bois depuis Saint-Martin-d'Hères" "Saint-Martin-d'Hères" "Rosny-sous-Bois"
"Je ne trouve pas de train en direction de Castres en passant par Saint-Leu" "Saint-Leu" "Castres"
"Je souhaite arriver à Cannes en provenance de Besançon" "Besançon" "Cannes"
"J'aimerais voyager à Troyes à partir de Romans-sur-Isère" "Romans-sur-Isère" "Troyes"
"J'aimerais arriver à Montrouge depuis Saint-Benoît" "Saint-Benoît" "Montrouge"
"J'aimerais visiter Rezé en passant par Pau" "Pau" "Rezé"
"Je souhaite me rendre à Angers en partant de Périgueux" "Périgueux" "Angers"
"Je souhaite arriver à Roanne en partant de Draguignan" "Draguignan" "Roanne"
"Je souhaite aller à Saint-Pierre en provenance de Mâcon" "Mâcon" "Saint-Pierre"
"J'aimerais aller vers Champigny-sur-Marne en partant de Salon-de-Provence" "Salon-de-Provence" "Champigny-sur-Marne"
"J'aimerais atterrir à Laval depuis Évry-Courcouronnes" "Évry-Courcouronnes" "Laval"
"Je souhaite voyager à Sainte-Marie à partir de Koungou" "Koungou" "Sainte-Marie"
